Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
1920,,,,,,,,,Dock Rats,"<i>Others for 
1919: An Anthology of the New
Verse (New York: Nicholas
Brown</i>, p. 1920)</i>, p. 127-28
</i><br/><br/>Other appearances: <i> Observations </i>(1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 245",,,,,,,
1921,,,,,,,,,"<i>Poems</i> published through agency of H.D.
and Bryher (Annie Winifred Ellerman)",,,,,,,,#3289C7
1921,7,,,,,,,,When I Buy Pictures,"<i>The Dial 71</i>, p. 33
</i><br/><br/>Other appearances: <i> Observations </i>(1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 255",,,,,,,
1921,7,,,,,,,,A Graveyard,"<i>The Dial 71</i>, p. 34
</i><br/><br/>Other appearances: <i> Observations </i>(1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 258",,,,,,,
1921,12,,,,,,,,New York,"<i>The Dial 71</i>, p. 637
</i><br/><br/>Other appearances: <i> Observations </i>(1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 267",,,,,,,
1921,12,,,,,,,,The Labours of Hercules,"<i>The Dial 71</i>, p. 638
</i><br/><br/>Other appearances: <i> Observations </i>(1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 265",,,,,,,
1922,1,,,,,,,,"Snakes, Mongooses, Snake-Charmers and the Like","<i>The Broom 1.3</i>, p. 193
</i><br/><br/>Other appearances: <i> Observations </i>(1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 274",,,,,,,
1922,6,,,,,,,,People's Surroundings,"<i>The Dial 72</i>, p. 588-90
</i><br/><br/>Other appearances: <i> Observations </i>(1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 269",,,,,,,
1923,2,,,,,,,,Novices,"<i>The Dial 74</i>, p. 183-84
</i><br/><br/>Other appearances: <i> Observations </i>(1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 278",,,,,,,
1923,7,,,,,,,,Bowls,"<i>Secession 5</i>, p. 12
</i><br/><br/>Other appearances: <i> Observations </i>(1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 276",,,,,,,
1923,,,,,,,,,Marriage,"<i>Manikin</i>, p. Number Three
(New York: Monroe
Wheeler</i>, p. 1923)
</i><br/><br/>Other appearances: <i> Observations </i>(1924)
<br/><br/>Source: <i>Becoming Marianne Moore</i>, p. 284",,,,,,,
1924,,,,,,,,,Publishes <i>Observations</i>; wins Dial Prize,,,,,,,,#3289C7
